Symbol,Date,Open,High,Low,Close,Volume
HBL,16-Mar-2021,120.00,122.00,119.19,121.40,1034798
HBL,17-Mar-2021,123.15,125.00,122.50,124.03,1245841
HBL,18-Mar-2021,121.40,122.80,119.00,119.73,1360154
HBL,19-Mar-2021,120.89,125.00,118.01,123.35,2654698
HBL,22-Mar-2021,123.34,124.80,122.33,123.69,264991
HBL,24-Mar-2021,124.75,124.75,121.55,123.78,872323
HBL,25-Mar-2021,124.00,125.00,123.00,123.43,502918
HBL,26-Mar-2021,124.00,124.00,119.10,120.31,892420
HBL,29-Mar-2021,120.00,120.00,117.00,118.03,655363
HBL,30-Mar-2021,118.94,119.50,117.06,117.95,589234
HBL,31-Mar-2021,118.80,120.40,115.00,116.18,1835403
HBL,01-Apr-2021,116.78,119.00,116.00,116.81,1208979
HBL,02-Apr-2021,117.40,118.00,116.05,117.41,157824
HBL,05-Apr-2021,117.89,117.89,114.50,114.95,272428
HBL,06-Apr-2021,114.85,117.57,114.55,116.83,242127
HBL,07-Apr-2021,116.50,117.38,113.00,113.60,1813618
HBL,08-Apr-2021,114.87,117.40,112.11,115.66,998575
HBL,09-Apr-2021,118.00,118.95,114.01,117.37,558914
HBL,12-Apr-2021,118.70,118.70,116.00,116.65,179011
HBL,13-Apr-2021,117.30,118.04,115.77,117.70,977655
HBL,14-Apr-2021,117.94,119.30,117.94,118.80,1361999
HBL,15-Apr-2021,119.01,119.01,117.40,117.99,436813
HBL,16-Apr-2021,118.68,119.25,118.00,118.53,896941
HBL,19-Apr-2021,117.05,120.00,116.90,117.44,238583
HBL,20-Apr-2021,119.00,120.99,117.52,119.54,895996
HBL,21-Apr-2021,120.00,121.40,119.01,120.10,1072058
HBL,22-Apr-2021,120.05,127.49,120.05,122.77,1499670
HBL,23-Apr-2021,123.70,123.70,121.90,122.05,864770
HBL,26-Apr-2021,122.50,129.20,121.02,125.32,3305701
HBL,27-Apr-2021,125.70,127.95,125.03,126.03,1696191
HBL,28-Apr-2021,124.60,126.30,123.25,123.77,1338651
HBL,29-Apr-2021,123.80,126.99,121.00,124.05,2402046
HBL,30-Apr-2021,124.55,126.50,122.11,124.85,1872049
HBL,03-May-2021,126.00,127.85,123.55,125.84,3083550
HBL,04-May-2021,127.97,129.00,125.00,127.74,1612059
HBL,05-May-2021,128.00,128.00,125.99,126.49,440870
HBL,06-May-2021,127.47,127.80,125.70,127.07,2620856
HBL,17-May-2021,125.80,128.25,125.01,126.60,1281995
HBL,18-May-2021,126.95,127.44,125.01,126.22,963005
HBL,19-May-2021,126.00,126.00,124.40,124.89,855326
HBL,20-May-2021,124.50,125.75,121.20,122.04,790533
HBL,21-May-2021,122.95,125.30,122.05,123.89,1473126
HBL,24-May-2021,124.50,126.00,124.00,124.93,881822
HBL,25-May-2021,125.47,129.50,124.00,128.91,3880680
HBL,26-May-2021,128.99,131.00,128.01,130.43,2983057
HBL,27-May-2021,132.00,134.25,130.00,131.79,3910072
HBL,28-May-2021,131.01,135.19,131.01,134.07,4761834
HBL,31-May-2021,134.95,137.45,134.95,135.92,2293654
HBL,01-Jun-2021,135.96,137.75,135.50,136.76,1557538
HBL,02-Jun-2021,137.00,137.00,134.05,134.71,1366996
HBL,03-Jun-2021,135.83,136.00,132.57,134.05,1156765
HBL,04-Jun-2021,134.02,135.93,132.80,133.68,486834
HBL,07-Jun-2021,134.00,135.50,132.17,133.17,568821
HBL,08-Jun-2021,133.95,134.50,133.07,133.97,357452
HBL,09-Jun-2021,134.44,134.44,132.01,132.63,409842
HBL,10-Jun-2021,133.45,135.75,132.06,134.51,1506851
HBL,11-Jun-2021,135.05,136.50,134.25,135.10,1223602
HBL,14-Jun-2021,136.50,136.50,134.51,135.07,820637
HBL,15-Jun-2021,135.85,135.85,134.00,134.77,479868
HBL,16-Jun-2021,135.57,135.70,134.60,135.20,1257607
HBL,17-Jun-2021,135.50,135.69,133.50,133.67,169731
HBL,18-Jun-2021,133.05,133.77,129.00,130.03,2267721
HBL,21-Jun-2021,130.95,131.94,128.90,130.38,451442
HBL,22-Jun-2021,130.50,132.00,129.01,130.58,299893
HBL,23-Jun-2021,130.60,131.00,128.65,129.85,435491
HBL,24-Jun-2021,130.00,131.70,129.05,130.39,637245
HBL,25-Jun-2021,130.95,130.95,126.26,127.48,1753036
HBL,28-Jun-2021,127.25,128.00,123.00,123.46,1300352
HBL,29-Jun-2021,124.23,126.90,123.46,125.21,1156820
HBL,30-Jun-2021,124.94,124.95,122.05,122.37,4257352
HBL,01-Jul-2021,122.90,124.75,122.56,123.46,1048077
HBL,02-Jul-2021,123.86,124.88,123.00,123.57,822320
